first_name,last_name,dob,sex,race,ethnicity,address1,city,state,zip,email,phone,language,passport_num,passport_country,dln,ssn,insurance_status,client_bill,insurance_name,payer_first_name,payer_last_name,insurance_id,insurance_group,subscriber_first_name,subscriber_last_name,subscriber_dob
Stan,Saul,2021-12-10,M,2131-1,Hispanic/Latino,27107 Chinook Hill,San Jose,CA,95138,mblencowe0@jalbum.net,408-241-2557,English,,,Z2056795,,Uninsured,true,"Yundt, Brakus and Homenick",Manuel,Wisam,2365080905,V296H35539511,,,
Morty,Kenworthy,2021-11-26,M,2054-5,Hispanic/Latino,887 Derek Lane,Temple,TX,76505,slarkworthy1@cafepress.com,254-319-3597,Danish,,,,,Uninsured,true,Schmitt-Koss,Cleveland,Willsmore,4595181239,W3349E20141664,,,
Adelheid,Tallach,2021-10-09,F,2076-8,Other,420 Clemons Point,Apache Junction,AZ,85219,aoneill2@sina.com.cn,480-555-8907,Tajik,C170150611001,US,K4214111,,Uninsured,true,"O'Reilly, Kozey and Considine",Tonye,Hearnaman,5716882403,Q64951A80791694,Analise,Oneill,1957-08-09
Reed,Yetman,2021-08-15,M,2106-3,Other,222 Holy Cross Place,Corpus Christi,TX,78415,vbedingfield3@mayoclinic.com,361-238-2660,Amharic,,,,,Insured,false,Reinger Group,Ramon,Olivera,4373647996,L1494L360611,,,
Thayne,Smoote,2021-05-28,M,2076-8,Hispanic/Latino,15244 Blackbird Junction,Knoxville,TN,37931,gedgeller4@cam.ac.uk,865-714-7966,Hungarian,,,,,Insured,true,Hilll and Sons,Amble,Tindall,5190463075,S94734U337932,,,
Robyn,Alanbrooke,2021-08-24,F,1002-5,Non-Hispanic/Latino,957 Jenifer Street,San Francisco,CA,94126,gcastillou5@upenn.edu,415-810-7661,Chinese,,,,,Insured,false,Dietrich LLC,Corly,Wharram,0156332633,J42770Z53183229,,,
Angus,Holton,2021-07-11,M,2131-1,Hispanic/Latino,2142 Gina Trail,Arlington,VA,22234,bcollough6@is.gd,571-911-9879,Fijian,,,,,Uninsured,false,Oberbrunner-Hilll,Dael,McCadden,8441841458,W39611F4979350,,,
Cooper,Marciek,2022-01-09,M,2028-9,Non-Hispanic/Latino,792 Northland Street,San Jose,CA,95133,jriggs7@spotify.com,408-383-8368,Montenegrin,,,,,Uninsured,false,Shields-Pfeffer,Caesar,Demange,1725694935,L463B8135375,,,
Mohandas,Barth,2021-12-30,M,2106-3,Other,97 Oakridge Hill,Billings,MT,59112,ashoebotham8@fda.gov,406-886-8728,Somali,,,N4963751,,Uninsured,false,"Larson, Quitzon and Halvorson",Franzen,Testo,7586760766,R2304I48100511,,,
Hyacinthie,Leighfield,2021-05-05,F,2076-8,Hispanic/Latino,4223 Mendota Place,Miami Beach,FL,33141,fperle9@technorati.com,305-105-9634,Bosnian,C327569742710,US,G2382249,,Uninsured,true,Jacobson and Sons,Rosalia,Vondra,1183085535,A9352V5290578,Francyne,Perle,1953-02-02
